latitude,longitude,area,hour,crime_category,risk_score,risk_label
12.974908023769473,77.57872710405549,Residential Area,8,Assault,0.4934153908688816,1
13.090142861281983,77.594687131875,Suburbs,5,Stalking,0.5024236708543379,1
13.04639878836228,77.67090947864044,Park/Isolation Zone,19,Safe,0.50212159724852,1
13.019731696839408,77.56800087721199,Industrial Area,2,Assault,0.9426384138570537,2
12.931203728088487,77.67392993696244,Industrial Area,7,Safe,0.2685349992622312,0
12.93119890406724,77.51762688619534,Industrial Area,2,Assault,0.8608979422364921,2
12.91161672243364,77.65535968744173,Downtown,0,Assault,0.9135842009133541,2
13.073235229154987,77.66950952661095,Downtown,19,Safe,0.40567927728817094,1
13.020223002348642,77.53636353056747,Industrial Area,12,Safe,0.32671208895363196,0
13.041614515559209,77.58606930647444,Residential Area,20,Assault,0.6036156920029243,1
12.904116898859161,77.53309995493274,Residential Area,4,Assault,0.546035509307164,1
13.093981970432399,77.64132082579884,Downtown,15,Safe,0.2102601695023129,0
13.066488528160084,77.60706955361233,Industrial Area,20,Safe,0.5169726707947765,1
12.942467822135656,77.62706466934166,Residential Area,23,Harassment,0.6159468081035504,1
12.93636499344142,77.53929739339124,Downtown,15,Harassment,0.4901608135101969,1
12.936680901970687,77.54234917241048,Industrial Area,23,Harassment,0.8459458196638646,2
12.960848448591907,77.50829946510198,Suburbs,11,Stalking,0.3008136155407979,0
13.004951286326447,77.56441350703915,Industrial Area,12,Assault,0.6329747566694672,1
12.986389003728423,77.61194893226674,Industrial Area,3,Theft,0.7840506643865781,2
12.958245828039608,77.67158698279947,Park/Isolation Zone,8,Stalking,0.5592232461492749,1
13.022370578944475,77.63338548949174,Park/Isolation Zone,15,Assault,0.6795877554133997,2
12.927898772130408,77.58707926467996,Suburbs,0,Theft,0.5240316559751885,1
12.958428929707043,77.69062402287884,Suburbs,4,Harassment,0.4130941153901174,1
12.973272368658739,77.64384904011517,Industrial Area,20,Theft,0.5934925637319955,1
12.991213996843408,77.68603304057251,Residential Area,4,Safe,0.2257083951808926,0
13.057035192278603,77.60551759465443,Suburbs,23,Safe,0.38007271334792525,1
12.939934756431672,77.55178085495862,Industrial Area,18,Assault,0.813423167555798,2
13.002846887682722,77.51056533727295,Downtown,8,Stalking,0.5499044095748894,1
13.018482913772408,77.64521697029677,Park/Isolation Zone,7,Harassment,0.5882289519849471,1
12.909290082544,77.5242605996011,Residential Area,18,Assault,0.6088204707836068,1
13.021508970380287,77.5605550256544,Industrial Area,17,Harassment,0.5819689415726154,1
12.934104824737458,77.60649418157678,Downtown,14,Safe,0.28295040785669623,0
12.913010318597056,77.61288331755595,Park/Isolation Zone,3,Stalking,0.9402250183838656,2
13.089777107450667,77.62011663939742,Downtown,14,Stalking,0.49184755441266265,1
13.093126406614912,77.53325106606994,Industrial Area,12,Safe,0.28066925156943523,0
13.061679469623291,77.57594748096433,Suburbs,17,Theft,0.2688015331797848,0
12.960922753834675,77.6234388454234,Park/Isolation Zone,19,Stalking,0.7953107941609533,2
12.919534422801277,77.69396377292676,Downtown,4,Theft,0.5587221668048585,1
13.036846605302431,77.64552622753995,Suburbs,17,Harassment,0.2683420723393424,0
